#
MD (meters),X Absolute,Y Absolute,TVDSS,X Offset (meters),Y Offset (meters)
0.0,437653.695348773,6470978.02070097,25.0,0.0,0.0
5.0292,437653.6953023597,6470978.021697125,19.970800399780277,-4.6413275e-05,0.0009961557
10.0584,437653.6949150236,6470978.024666261,14.94159984588623,-0.0004337494,0.003965291
15.0876,437653.6938184184,6470978.029544652,9.912400245666504,-0.0015303546,0.008843682
20.1168,437653.6916530985,6470978.03622284,4.883199691772461,-0.0036956745,0.01552187
25.146,437653.68807325215,6470978.044546613,-0.1459999084472656,-0.007275521,0.023845643
30.1752,437653.68275130336,6470978.054318619,-5.175199508666992,-0.01259747,0.03361765
35.2044,437653.675382437,6470978.065300093,-10.20439910888672,-0.019966336,0.044599123
40.2336,437653.6656887846,6470978.07721343,-15.233600616455078,-0.029659988,0.05651246
45.262802,437653.6534236072,6470978.089744643,-20.26280212402344,-0.041925166,0.06904367
50.292,437653.6383750586,6470978.102546767,-25.29199981689453,-0.056973714,0.0818458
55.3212,437653.6203695944,6470978.115243071,-30.32120132446289,-0.07497918,0.0945421
60.3504,437653.5992752424,6470978.127431051,-35.350399017333984,-0.09607353,0.10673008
65.3796,437653.5750042832,6470978.138685749,-40.37960052490234,-0.12034449,0.11798478
70.4088,437653.5475171095,6470978.148566195,-45.40879821777344,-0.14783166,0.12786523
75.438,437653.5168217307,6470978.15661759,-50.43800354003906,-0.17852704,0.13591662
80.4672,437653.4829774088,6470978.162377202,-55.46720123291016,-0.21237136,0.14167623
85.4964,437653.4460951424,6470978.165379637,-60.49639892578125,-0.24925363,0.14467867
90.525604,437653.40633869526,6470978.16516135,-65.52560424804688,-0.28901008,0.14446038
95.5548,437653.3639248943,6470978.161266127,-70.55480194091797,-0.33142388,0.14056516
100.584,437653.31912309286,6470978.153250509,-75.58399963378906,-0.37622568,0.13254954
105.613205,437653.2722552454,6470978.140688562,-80.61320495605469,-0.42309353,0.11998759
110.6424,437653.2236937618,6470978.123177738,-85.64240264892578,-0.471655,0.10247677
115.6716,437653.1738611197,6470978.100343489,-90.67160034179688,-0.52148765,0.07964252
120.7008,437653.1232261991,6470978.071842321,-95.70079803466795,-0.5721226,0.05114135
125.73,437653.0723044014,6470978.03737587,-100.7300033569336,-0.6230444,0.0166749
130.7592,437653.02165112254,6470977.99668193,-105.75920104980467,-0.67369765,-0.02401904
135.7884,437652.97186085937,6470977.9495478505,-110.78840637207033,-0.7234879,-0.07115312
140.8176,437652.9235629177,6470977.895812654,-115.81759643554688,-0.77178586,-0.124888316
145.8468,437652.8774159288,6470977.835370638,-120.8468017578125,-0.81793284,-0.18533033
150.876,437652.8341046309,6470977.7681771,-125.87600708007812,-0.86124414,-0.25252387
155.9052,437652.7943348622,6470977.694244065,-130.9051971435547,-0.9010139,-0.3264569
160.9344,437652.7588270044,6470977.613654562,-135.9344024658203,-0.93652177,-0.4070464
