#
MD (meters),X Absolute,Y Absolute,TVDSS,X Offset (meters),Y Offset (meters)
0.0,436137.42,6470282.86,78.0,0.0,0.0
31.48,436137.42,6470282.86,46.52,0.0,0.0
40.0,436137.4,6470282.86,38.0,-0.01,0.0
50.0,436137.38,6470282.86,28.0,-0.04,-0.0
60.0,436137.39,6470282.85,18.0,-0.03,-0.0
70.0,436137.41,6470282.85,8.0,-0.01,-0.0
80.0,436137.48,6470282.87,-2.0,0.06,0.02
90.0,436137.62,6470282.93,-12.0,0.2,0.08
100.0,436137.84,6470283.01,-22.0,0.42,0.15
110.0,436138.13,6470283.08,-31.99,0.72,0.22
120.0,436138.5,6470283.18,-41.98,1.08,0.32
130.0,436138.94,6470283.29,-51.97,1.52,0.44
140.0,436139.41,6470283.41,-61.96,1.99,0.56
150.0,436139.9,6470283.51,-71.95,2.48,0.66
160.0,436140.4,6470283.61,-81.94,2.98,0.76
170.0,436140.86,6470283.72,-91.92,3.44,0.87
180.0,436141.27,6470283.84,-101.92,3.85,0.98
190.0,436141.67,6470283.95,-111.91,4.25,1.09
200.0,436142.08,6470284.06,-121.9,4.67,1.21
210.0,436142.52,6470284.21,-131.89,5.1,1.35
220.0,436142.95,6470284.36,-141.88,5.53,1.5
230.0,436143.42,6470284.52,-151.86,6.0,1.66
240.0,436143.91,6470284.68,-161.85,6.5,1.82
247.0,436144.25,6470284.79,-168.84,6.83,1.93
250.0,436144.39,6470284.83,-171.84,6.98,1.98
280.0,436146.12,6470285.26,-201.79,8.7,2.4
310.1,436148.7,6470285.72,-231.77,11.28,2.86
340.1,436152.64,6470286.72,-261.49,15.22,3.87
370.0,436157.7,6470288.57,-290.9,20.28,5.72
398.9,436163.69,6470291.21,-319.04,26.27,8.35
406.9,436165.59,6470292.14,-326.76,28.18,9.28
409.9,436166.33,6470292.51,-329.64,28.92,9.65
420.0,436168.92,6470293.78,-339.32,31.51,10.93
430.0,436171.63,6470295.1,-348.85,34.21,12.24
440.0,436174.47,6470296.45,-358.35,37.05,13.6
450.0,436177.42,6470297.83,-367.8,40.01,14.98
460.0,436180.51,6470299.26,-377.2,43.09,16.4
470.0,436183.75,6470300.75,-386.54,46.34,17.89
479.9,436187.16,6470302.31,-395.71,49.75,19.45
490.0,436190.83,6470304.01,-404.96,53.41,21.15
500.0,436194.6,6470305.76,-414.06,57.19,22.9
509.9,436198.46,6470307.55,-423.0,61.04,24.69
520.0,436202.51,6470309.42,-432.06,65.09,26.56
530.0,436206.59,6470311.28,-441.0,69.17,28.42
540.0,436210.72,6470313.15,-449.91,73.31,30.29
550.0,436214.95,6470315.06,-458.77,77.53,32.2
559.9,436219.25,6470317.03,-467.46,81.83,34.17
570.0,436223.81,6470319.1,-476.23,86.39,36.25
580.0,436228.44,6470321.19,-484.85,91.03,38.34
590.0,436233.1,6470323.24,-493.46,95.68,40.39
600.0,436237.83,6470325.26,-502.03,100.41,42.4
610.0,436242.74,6470327.33,-510.49,105.32,44.47
619.9,436247.8,6470329.49,-518.73,110.38,46.63
630.0,436253.12,6470331.81,-526.99,115.7,48.96
639.9,436258.47,6470334.24,-534.95,121.05,51.38
